id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
,Salazzle [Reverse Holo] #28,Pokemon Battle Styles,25,Ungraded,Normal wear,,From TCGcollector: Battle Styles; 028/163; Reverse Holo; Rare,0,1,2026-08-23,,,,
,Fearow [Reverse Holo] #112,Pokemon Battle Styles,26,Ungraded,Normal wear,,From TCGcollector: Battle Styles; 112/163; Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Exp. Share [Reverse Holo] #126,Pokemon Battle Styles,16,Ungraded,Normal wear,,From TCGcollector: Battle Styles; 126/163; Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Level Ball [Reverse Holo] #129,Pokemon Battle Styles,39,Ungraded,Normal wear,,From TCGcollector: Battle Styles; 129/163; Reverse Holo; Uncommon,0,1,2026-08-23,,,,
,Korrina's Focus #160,Pokemon Battle Styles,425,Ungraded,Normal wear,,From TCGcollector: Battle Styles; 160/163; Normal Holo; Rare Ultra,0,1,2026-08-23,,,,
